City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
326,kitimat,54.0524,-128.6534,24.82,50,77,3.58,CA,1686611242
327,gadzhiyevo,69.2551,33.3362,10.72,90,100,3.16,RU,1686611242
328,baiyin,36.5583,104.2081,18.76,28,5,1.27,CN,1686611242
329,ryotsu-minato,38.0833,138.4333,21.78,81,61,1.28,JP,1686611242
330,tangalle,6.024,80.7911,26.52,84,97,5.42,LK,1686611242
331,santa maria,-29.6842,-53.8069,5.25,69,51,2.14,BR,1686611242
332,saint-leu,-21.15,55.2833,22.2,88,0,1.33,RE,1686611242
333,el granada,37.5027,-122.4694,26.14,69,100,5.14,US,1686611243
334,santa marta,11.2408,-74.199,31.05,69,75,3.09,CO,1686611000
335,kouroussa,10.65,-9.8833,23.7,87,87,2.5,GN,1686611243
336,quimili,-27.6333,-62.4167,10.41,29,87,3.46,AR,1686611243
337,mayya,61.7333,130.2811,5.62,64,96,3.6,RU,1686611243
338,rawson,-43.3002,-65.1023,7.94,48,31,3.62,AR,1686611243
339,portland,45.5234,-122.6762,33.64,44,0,3.58,US,1686610802
340,saint john,45.2727,-66.0677,21.57,56,0,4.12,CA,1686611094
341,usogorsk,63.4106,48.6872,12.41,79,99,1.2,RU,1686611244
342,choibalsan,48.0667,114.5,21.88,38,73,3.56,MN,1686611244
343,yeppoon,-23.1333,150.7333,19.88,80,21,2.26,AU,1686611244
344,cockburn town,21.4612,-71.1419,28.01,84,60,9.44,TC,1686611020
345,deir ez-zor,35.3359,40.1408,25.98,39,31,8.62,SY,1686611244
346,vorkuta,67.5,64.0,4.02,57,97,3.73,RU,1686611244
347,khemis miliana,36.261,2.2202,22.01,69,76,1.52,DZ,1686611244
348,kill devil hills,36.0307,-75.676,26.0,92,75,8.75,US,1686611245
349,basco,20.4487,121.9702,27.98,85,100,11.58,PH,1686611245
350,morondava,-20.2833,44.2833,19.8,82,0,3.42,MG,1686611239
351,nieuw amsterdam,5.8833,-55.0833,26.68,88,93,4.03,SR,1686611245
352,sorong,-0.8833,131.25,25.5,88,100,1.16,ID,1686611245
353,vyazemskiy,47.5378,134.7525,17.81,83,92,1.01,RU,1686611246
354,aral,40.5156,81.2636,26.09,24,41,4.85,CN,1686611246
355,kodinsk,58.6881,99.1844,12.21,57,100,1.73,RU,1686611246
356,el calafate,-50.3408,-72.2768,0.94,69,100,1.66,AR,1686611246
357,weno,7.4515,151.8468,29.97,79,75,5.14,FM,1686611246
358,vila franca do campo,37.7167,-25.4333,19.23,98,100,5.71,PT,1686611246
359,babu,24.4167,111.5167,25.95,80,95,1.14,CN,1686611121
360,westport,41.1415,-73.3579,22.38,88,100,5.66,US,1686611247
361,okha,53.5739,142.9478,6.91,94,100,2.79,RU,1686611039
